DepartDate,Origin,Destination,Carrier
07/01/2019,AAR,LGW,U2
11/01/2019,AAR,LGW,U2
18/01/2019,AAR,LGW,U2
03/07/2019,AAR,TXL,U2
04/05/2019,AAR,TXL,U2
07/01/2019,AAR,TXL,U2
11/01/2019,AAR,TXL,U2
18/01/2019,AAR,TXL,U2
05/01/2019,ABZ,GVA,U2
03/02/2019,ABZ,LGW,U2
07/01/2019,ABZ,LGW,U2
11/01/2019,ABZ,LGW,U2
18/01/2019,ABZ,LGW,U2
03/02/2019,ABZ,LTN,U2
03/06/2019,ABZ,LTN,U2
03/07/2019,ABZ,LTN,U2
04/04/2019,ABZ,LTN,U2
05/03/2019,ABZ,LTN,U2
07/01/2019,ABZ,LTN,U2
11/01/2019,ABZ,LTN,U2
18/01/2019,ABZ,LTN,U2
05/01/2019,ACE,AMS,U2
05/03/2019,ACE,AMS,U2
05/01/2019,ACE,BFS,U2
05/03/2019,ACE,BFS,U2
04/05/2019,ACE,BRS,U2
05/01/2019,ACE,BRS,U2
05/03/2019,ACE,BRS,U2
04/05/2019,ACE,BSL,U2
05/01/2019,ACE,BSL,U2
05/01/2019,ACE,CDG,U2
05/03/2019,ACE,CDG,U2
03/02/2019,ACE,LGW,U2
03/06/2019,ACE,LGW,U2
03/07/2019,ACE,LGW,U2
04/04/2019,ACE,LGW,U2
04/05/2019,ACE,LGW,U2
05/01/2019,ACE,LGW,U2
05/03/2019,ACE,LGW,U2
07/01/2019,ACE,LGW,U2
11/01/2019,ACE,LGW,U2
18/01/2019,ACE,LGW,U2
03/02/2019,ACE,LPL,U2
03/07/2019,ACE,LPL,U2
04/05/2019,ACE,LPL,U2
05/03/2019,ACE,LPL,U2
05/01/2019,ACE,LTN,U2
07/01/2019,ACE,LTN,U2
03/07/2019,ACE,MAN,U2
04/05/2019,ACE,MAN,U2
05/01/2019,ACE,MAN,U2
04/05/2019,ACE,MXP,U2
05/01/2019,ACE,MXP,U2
05/03/2019,ACE,MXP,U2
07/01/2019,ACE,SEN,U2
11/01/2019,ACE,SEN,U2
18/01/2019,ACE,SEN,U2
03/02/2019,ACE,SXF,U2
05/01/2019,ACE,VCE,U2
05/03/2019,ACE,VCE,U2
