date,code_dep,code_arr
10/20/2018,ACE,MAD
10/20/2018,ACE,SCQ
10/20/2018,ACE,SDR
10/20/2018,ACE,SVQ
10/20/2018,ACE,VLC
10/20/2018,ACE,ZAZ
10/20/2018,AGP,BCN
10/20/2018,AGP,IBZ
10/20/2018,AGP,PMI
10/20/2018,AGP,SCQ
10/20/2018,AGP,SDR
10/20/2018,ALC,SCQ
10/20/2018,ALC,SVQ
10/20/2018,BCN,AGP
10/20/2018,BCN,FUE
10/20/2018,BCN,IBZ
10/20/2018,BCN,LPA
10/20/2018,BCN,MAH
10/20/2018,BCN,PMI
10/20/2018,BCN ,SCQ
10/20/2018,BCN,SDR
10/20/2018,BCN,SVQ
10/20/2018,BCN,TFN
10/20/2018,BCN,TFS
10/20/2018,BCN,VGO
10/20/2018,BCN,VLL
10/20/2018,BCN,XRY
10/20/2018,FUE,BCN
10/20/2018,FUE,MAD
10/20/2018,FUE,SVQ
10/20/2018,IBZ,AGP
10/20/2018,IBZ,BCN
10/20/2018,IBZ,MAD
10/20/2018,IBZ,SVQ
10/20/2018,IBZ,VLC
10/20/2018,LPA,BCN
10/20/2018,LPA,MAD
10/20/2018,LPA,SVQ
10/20/2018,LPA,VLC
10/20/2018,MAD,ACE
10/20/2018,MAD,FUE
10/20/2018,MAD,IBZ
10/20/2018,MAD,LPA
10/20/2018,MAD,MAH
10/20/2018,MAD,PMI
10/20/2018,MAD,SCQ
10/20/2018,MAD,TFN
10/20/2018,MAD,TFS
10/20/2018,MAH,BCN
10/20/2018,MAH,MAD
10/20/2018,MAH,VLC
10/20/2018,PMI,BCN
10/20/2018,PMI,AGP
10/20/2018,PMI,MAD
10/20/2018,PMI,SCQ
10/20/2018,PMI,SVQ
10/20/2018,PMI,VLC
10/20/2018,PMI,VLL
10/20/2018,PMI ,ZAZ
10/20/2018,SCQ,ACE
10/20/2018,SCQ,AGP
10/20/2018,SCQ,ALC
10/20/2018,SCQ,BCN
10/20/2018,SCQ,LPA
10/20/2018,SCQ,MAD
10/20/2018,SCQ,SCQ
10/20/2018,SCQ,TFS
10/20/2018,SCQ,VLC
10/20/2018,SDR,ACE
10/20/2018,SDR,AGP
10/20/2018,SDR,BCN
10/20/2018,SDR,TFS
10/20/2018,SDR,VLC
10/20/2018,SVQ,BCN
10/20/2018,SVQ,ALC
10/20/2018,SVQ,ACE
10/20/2018,SVQ,IBZ
10/20/2018,SVQ,LPA
10/20/2018,SVQ,PMI
10/20/2018,SVQ,SCQ
10/20/2018,SVQ,TFS
10/20/2018,SVQ,VIT
10/20/2018,SVQ,VLC
10/20/2018,SVQ,VLL
10/20/2018,TFS,BCN
10/20/2018,TFS,MAD
10/20/2018,TFS,BCN
10/20/2018,TFS,SCQ
10/20/2018,TFS,SVQ
10/20/2018,TFS,SDR
10/20/2018,TFS,VIT
10/20/2018,TFS,VLC
10/20/2018,VGO,BCN
10/20/2018,VIT,SVQ
10/20/2018,VIT,TFS
10/20/2018,VLC,ACE
10/20/2018,VLC,IBZ
10/20/2018,VLC,LPA
10/20/2018,VLC,MAH
10/20/2018,VLC,PMI
10/20/2018,VLC,SCQ
10/20/2018,VLC,SDR
10/20/2018,VLC,SVQ
10/20/2018,VLC,TFS
10/20/2018,VLL,BCN
10/20/2018,VLL,PMI
10/20/2018,VLL,SVQ
10/20/2018,XRY,BCN
10/20/2018,ZAZ,ACE
10/20/2018,ZAZ,PMI
