FareClass,ObservationDate,Departure_Date,ORG,Dst,Carrier,Flight_Code,Dep_time,Arr_time,Apt_Fees,Gov_Tax,Total_Price_Non_Res,Base_Fare_Non_Res,Base_Fare_Non_Res_Calc,Airport_Fees_Res,Gov_Tax_Res,Total_Price_Res,Base_Fare_Res,Base_Fare_Res_Calc,Discount_Value,Discount_Value_Calc,Security,Security Tax,Currency
Low Fare,15/03/2019,25/03/2019,BCN,LPA,D8,5752,16:15,18:40,18.48,,84,65,,18.48,,34.98,,16,49.50,,,,€
Low Fare+,15/03/2019,25/03/2019,BCN,LPA,D8,5752,16:15,18:40,18.48,,102,83,,18.48,,52.98,,34,49.50,,,,€
Flex,15/03/2019,25/03/2019,BCN,LPA,D8,5752,16:15,18:40,18.48,,499,480,,18.48,,138.73,,120,360.75,,,,€
Low Fare,15/03/2019,25/03/2019,BCN,TFN,D8,5756,08:00,10:25,18.48,,64,45,,18.48,,29.98,,11,34.50,,,,€
Low Fare+,15/03/2019,25/03/2019,BCN,TFN,D8,5756,08:00,10:25,18.48,,82,63,,18.48,,47.98,,29,34.50,,,,€
Flex,15/03/2019,25/03/2019,BCN,TFN,D8,5756,08:00,10:25,18.48,,499,480,,18.48,,138.73,,120,360.75,,,,€
Low Fare,15/03/2019,25/03/2019,LPA,BCN,D8,5753,19:20,23:30,9.27,,74,64,,9.27,,25.52,,16,48.75,,,,€
Low Fare+,15/03/2019,25/03/2019,LPA,BCN,D8,5753,19:20,23:30,9.27,,92,82,,9.27,,43.52,,34,48.75,,,,€
Flex,15/03/2019,25/03/2019,LPA,BCN,D8,5753,19:20,23:30,9.27,,489,479,,9.27,,129.27,,120,360.00,,,,€
Low Fare+,15/03/2019,25/03/2019,LPA,MAD,D8,6303,11:15,15:00,9.27,,227,217,,9.27,,77.27,,68,150.00,,,,€
Low Fare,15/03/2019,25/03/2019,MAD,LPA,D8,6300,08:20,10:15,19.51,,49,29,,19.51,,27.01,,7,22.50,,,,€
Low Fare+,15/03/2019,25/03/2019,MAD,LPA,D8,6300,08:20,10:15,19.51,,67,47,,19.51,,45.01,,25,22.50,,,,€
Flex,15/03/2019,25/03/2019,MAD,LPA,D8,6300,08:20,10:15,19.51,,499,479,,19.51,,139.51,,119,360.00,,,,€
Low Fare+,15/03/2019,25/03/2019,MAD,LPA,D8,6302,08:20,10:15,19.51,,72,52,,19.51,,46.26,,26,26.25,,,,€
Flex,15/03/2019,25/03/2019,MAD,LPA,D8,6302,08:20,10:15,19.51,,499,479,,19.51,,139.51,,119,360.00,,,,€
Low Fare,15/03/2019,25/03/2019,MAD,PMI,D8,6771,09:30,10:50,22.03,,69,46,,22.03,,33.53,,11,36.27,,,,€
Low Fare+,15/03/2019,25/03/2019,MAD,PMI,D8,6771,09:30,10:50,22.03,,81,58,,22.03,,45.52,,23,36.27,,,,€
Flex,15/03/2019,25/03/2019,MAD,PMI,D8,6771,09:30,10:50,22.03,,499,476,,22.03,,141.04,,119,358.79,,,,€
Low Fare,15/03/2019,25/03/2019,MAD,TFN,D8,6306,09:00,10:55,19.51,,69,49,,19.51,,32.01,,12,37.50,,,,€
Low Fare+,15/03/2019,25/03/2019,MAD,TFN,D8,6306,09:00,10:55,19.51,,87,67,,19.51,,50.01,,30,37.50,,,,€
Flex,15/03/2019,25/03/2019,MAD,TFN,D8,6306,09:00,10:55,19.51,,549,529,,19.51,,152.01,,132,397.50,,,,€
Low Fare+,15/03/2019,25/03/2019,MAD,TFN,D8,6308,09:00,10:55,19.51,,82,62,,19.51,,48.76,,29,33.75,,,,€
Flex,15/03/2019,25/03/2019,MAD,TFN,D8,6308,09:00,10:55,19.51,,549,529,,19.51,,152.01,,132,397.50,,,,€
Low Fare,15/03/2019,25/03/2019,PMI,MAD,D8,6770,07:25,08:50,10.58,,47,36,,10.58,,19.58,,8,28.39,,,,€
Low Fare+,15/03/2019,25/03/2019,PMI,MAD,D8,6770,07:25,08:50,10.58,,59,48,,10.58,,31.57,,20,28.39,,,,€
Flex,15/03/2019,25/03/2019,PMI,MAD,D8,6770,07:25,08:50,10.58,,490,479,,10.58,,130.24,,119,360.37,,,,€
Low Fare,15/03/2019,25/03/2019,TFN,MAD,D8,6307,11:35,15:20,8.49,,119,110,,8.49,,36.24,,27,83.25,,,,€
Low Fare+,15/03/2019,25/03/2019,TFN,MAD,D8,6307,11:35,15:20,8.49,,137,128,,8.49,,54.24,,45,83.25,,,,€
Flex,15/03/2019,25/03/2019,TFN,MAD,D8,6307,11:35,15:20,8.49,,489,480,,8.49,,128.74,,120,360.75,,,,€
Low Fare+,15/03/2019,25/03/2019,TFN,MAD,D8,6309,11:35,15:20,8.49,,137,128,,8.49,,54.24,,45,83.25,,,,€
Flex,15/03/2019,25/03/2019,TFN,MAD,D8,6309,11:35,15:20,8.49,,489,480,,8.49,,128.74,,120,360.75,,,,€
Low Fare,15/03/2019,25/03/2019,TFN,BCN,D8,5757,11:10,15:30,8.49,,279,270,,8.49,,76.24,,67,203.25,,,,€
Low Fare+,15/03/2019,25/03/2019,TFN,BCN,D8,5757,11:10,15:30,8.49,,297,288,,8.49,,94.24,,85,203.25,,,,€
Flex,15/03/2019,25/03/2019,TFN,BCN,D8,5757,11:10,15:30,8.49,,489,480,,8.49,,128.74,,120,360.75,,,,€
