FareClass,ObservationDate,Departure_Date,ORG,Dst,Carrier,Flight_Code,Dep_time,Arr_time,Apt_Fees,Gov_Tax,Total_Price_Non_Res,Base_Fare_Non_Res,Base_Fare_Non_Res_Calc,Airport_Fees_Res,Gov_Tax_Res,Total_Price_Res,Base_Fare_Res,Base_Fare_Res_Calc,Discount_Value,Discount_Value_Calc,Security,Security Tax,Currency
Basic,15/03/2019,25/03/2019,ACE,MAD,FR,2018,09:25,13:05,8.43,,168.99,160.56,,8.43,,50.68,,42.25,126.74,,,,€
Basic,15/03/2019,25/03/2019,ACE,MAD,FR,2016,17:20,21:00,8.43,,141.99,133.56,,8.43,,43.93,,35.5,106.49,,,,€
Basic,15/03/2019,25/03/2019,ACE,SVQ,FR,2553,07:10,10:15,8.43,,50.99,42.56,,8.43,,21.18,,12.75,38.24,,,,€
Basic,15/03/2019,25/03/2019,ACE,VLC,FR,3488,07:20,10:50,0,,19.99,19.99,,0,,5.00,,5.0,14.99,,,,€
Basic,15/03/2019,25/03/2019,AGP,BCN,FR,6387,09:25,11:05,11.91,,98.99,87.08,,11.91,,36.66,,24.74,74.24,,,,€
Basic,15/03/2019,25/03/2019,ALC,SCQ,FR,8538,13:15,15:00,0,,18.69,18.69,,0,,4.67,,4.67,14.02,,,,€
Basic,15/03/2019,25/03/2019,BCN,AGP,FR,6386,06:55,08:45,20.25,,10.99,-9.26,,20.25,,23.00,,2.75,8.24,,,,€
Basic,15/03/2019,25/03/2019,BCN,FUE,FR,6302,16:50,19:10,18.41,,28.99,10.57,,18.41,,25.66,,7.25,21.74,,,,€
Basic,15/03/2019,25/03/2019,BCN,IBZ,FR,8136,06:40,07:45,19.04,,10.33,-8.70,,19.04,,21.62,,2.58,7.75,,,,€
Basic,15/03/2019,25/03/2019,BCN,IBZ,FR,8841,15:50,16:55,19.04,,29.98,10.94,,19.04,,26.53,,7.49,22.49,,,,€
Basic,15/03/2019,25/03/2019,BCN,IBZ,FR,8141,20:50,21:55,19.04,,29.98,10.94,,19.04,,26.53,,7.49,22.49,,,,€
Basic,15/03/2019,25/03/2019,BCN,LPA,FR,6370,16:30,19:05,0,,16.99,16.99,,0,,4.25,,4.25,12.74,,,,€
Basic,15/03/2019,25/03/2019,BCN,PMI,FR,6362,08:00,09:00,18.97,,4.03,-14.93,,18.97,,19.98,,1.01,3.02,,,,€
Basic,15/03/2019,25/03/2019,BCN,PMI,FR,3070,12:45,13:45,18.97,,4.03,-14.93,,18.97,,19.98,,1.01,3.02,,,,€
Basic,15/03/2019,25/03/2019,BCN,PMI,FR,6578,13:50,14:50,18.97,,4.03,-14.93,,18.97,,19.98,,1.01,3.02,,,,€
Basic,15/03/2019,25/03/2019,BCN,PMI,FR,6368,21:35,22:35,18.97,,11.03,-7.93,,18.97,,21.73,,2.76,8.27,,,,€
Basic,15/03/2019,25/03/2019,BCN,SCQ,FR,6332,06:35,08:35,0,,16.49,16.49,,0,,4.12,,4.12,12.37,,,,€
Basic,15/03/2019,25/03/2019,BCN,SCQ,FR,6381,19:05,21:05,0,,16.49,16.49,,0,,4.12,,4.12,12.37,,,,€
Basic,15/03/2019,25/03/2019,BCN,SVQ,FR,6396,18:55,20:40,20.25,,223.29,203.04,,20.25,,76.07,,55.81,167.47,,,,€
Basic,15/03/2019,25/03/2019,BCN,SVQ,FR,6398,21:55,23:40,20.25,,10.99,-9.26,,20.25,,23.00,,2.75,8.24,,,,€
Basic,15/03/2019,25/03/2019,BCN,TFN,FR,3063,06:20,08:55,18.41,,15.99,-2.42,,18.41,,22.41,,4.0,11.99,,,,€
Basic,15/03/2019,25/03/2019,BCN,VGO,FR,245,14:15,16:10,20.25,,10.99,-9.26,,20.25,,23.00,,2.75,8.24,,,,€
Basic,15/03/2019,25/03/2019,BCN,VLL,FR,6320,11:35,13:05,20.25,,98.99,78.74,,20.25,,45.00,,24.75,74.24,,,,€
Basic,15/03/2019,25/03/2019,FUE,BCN,FR,6303,19:45,23:55,8.43,,53.99,45.56,,8.43,,21.93,,13.5,40.49,,,,€
Basic,15/03/2019,25/03/2019,FUE,MAD,FR,5469,13:20,17:00,8.43,,106.99,98.56,,8.43,,35.18,,26.75,80.24,,,,€
Basic,15/03/2019,25/03/2019,IBZ,BCN,FR,8137,08:20,09:15,7.19,,29.98,22.79,,7.19,,14.68,,7.48,22.49,,,,€
Basic,15/03/2019,25/03/2019,IBZ,BCN,FR,8842,17:30,18:25,7.19,,10.33,3.13,,7.19,,9.77,,2.57,7.75,,,,€
Basic,15/03/2019,25/03/2019,IBZ,BCN,FR,8140,22:30,23:25,0,,10.33,10.33,,0,,2.58,,2.58,7.75,,,,€
Basic,15/03/2019,25/03/2019,IBZ,MAD,FR,5355,08:55,10:15,7.42,,77.96,70.53,,7.42,,26.91,,19.49,58.47,,,,€
Basic,15/03/2019,25/03/2019,IBZ,MAD,FR,2085,21:55,23:15,7.42,,10.67,3.25,,7.42,,10.09,,2.67,8.00,,,,€
Basic,15/03/2019,25/03/2019,IBZ,VLC,FR,7217,17:30,18:20,0,,13.32,13.32,,0,,3.33,,3.33,9.99,,,,€
Basic,15/03/2019,25/03/2019,LPA,BCN,FR,6371,19:40,23:59,9.21,,43.99,34.78,,9.21,,20.21,,11.0,32.99,,,,€
Basic,15/03/2019,25/03/2019,LPA,MAD,FR,2032,09:15,13:10,9.21,,235.99,226.78,,9.21,,68.21,,58.99,176.99,,,,€
Basic,15/03/2019,25/03/2019,LPA,MAD,FR,2012,16:40,20:35,9.21,,235.99,226.78,,9.21,,68.21,,58.99,176.99,,,,€
Basic,15/03/2019,25/03/2019,MAD,ACE,FR,2017,07:05,08:50,19.44,,39.99,20.55,,19.44,,29.44,,10.0,29.99,,,,€
Basic,15/03/2019,25/03/2019,MAD,ACE,FR,2015,21:35,23:20,19.44,,47.99,28.55,,19.44,,31.44,,12.0,35.99,,,,€
Basic,15/03/2019,25/03/2019,MAD,FUE,FR,5468,11:00,12:45,19.44,,19.99,0.54,,19.44,,24.44,,5.0,14.99,,,,€
Basic,15/03/2019,25/03/2019,MAD,IBZ,FR,5354,07:00,08:20,20.76,,63.01,42.25,,20.76,,36.51,,15.74,47.26,,,,€
Basic,15/03/2019,25/03/2019,MAD,IBZ,FR,2084,20:00,21:20,20.76,,18.15,-2.61,,20.76,,25.30,,4.53,13.61,,,,€
Basic,15/03/2019,25/03/2019,MAD,LPA,FR,2031,06:40,08:40,19.44,,47.99,28.55,,19.44,,31.44,,12.0,35.99,,,,€
Basic,15/03/2019,25/03/2019,MAD,LPA,FR,2011,21:10,23:10,19.44,,19.99,0.54,,19.44,,24.44,,5.0,14.99,,,,€
Basic,15/03/2019,25/03/2019,MAD,PMI,FR,2775,07:40,09:10,20.44,,38.89,18.45,,20.44,,30.16,,9.71,29.17,,,,€
Basic,15/03/2019,25/03/2019,MAD,PMI,FR,2051,08:40,10:10,20.44,,28.56,8.11,,20.44,,27.58,,7.13,21.42,,,,€
Basic,15/03/2019,25/03/2019,MAD,PMI,FR,2063,14:00,15:30,20.44,,38.89,18.45,,20.44,,30.16,,9.71,29.17,,,,€
Basic,15/03/2019,25/03/2019,MAD,PMI,FR,2061,19:10,20:40,20.44,,28.56,8.11,,20.44,,27.58,,7.13,21.42,,,,€
Basic,15/03/2019,25/03/2019,MAD,PMI,FR,2053,20:15,21:45,20.44,,38.89,18.45,,20.44,,30.16,,9.71,29.17,,,,€
Basic,15/03/2019,25/03/2019,MAD,SCQ,FR,5315,09:00,10:15,21.38,,31.89,10.51,,21.38,,29.35,,7.97,23.92,,,,€
Basic,15/03/2019,25/03/2019,MAD,SCQ,FR,5317,20:10,21:30,21.38,,10.99,-10.38,,21.38,,24.13,,2.75,8.24,,,,€
Basic,15/03/2019,25/03/2019,MAD,TFN,FR,5278,06:45,08:40,19.44,,47.99,28.55,,19.44,,31.44,,12.0,35.99,,,,€
Basic,15/03/2019,25/03/2019,MAD,TFS,FR,2913,20:45,22:50,19.44,,39.99,20.55,,19.44,,29.44,,10.0,29.99,,,,€
Basic,15/03/2019,25/03/2019,PMI,BCN,FR,6363,06:30,07:25,7.80,,204.01,196.20,,7.80,,58.81,,51.01,153.01,,,,€
Basic,15/03/2019,25/03/2019,PMI,BCN,FR,6579,12:20,13:15,7.80,,17.51,9.71,,7.80,,12.18,,4.38,13.13,,,,€
Basic,15/03/2019,25/03/2019,PMI,BCN,FR,3071,14:25,15:20,7.80,,10.29,2.48,,7.80,,10.37,,2.56,7.72,,,,€
Basic,15/03/2019,25/03/2019,PMI,BCN,FR,6369,20:05,21:00,0,,10.29,10.29,,0,,2.57,,2.57,7.72,,,,€
Basic,15/03/2019,25/03/2019,PMI,MAD,FR,2052,06:40,08:05,7.96,,23.12,15.16,,7.96,,13.74,,5.78,17.34,,,,€
Basic,15/03/2019,25/03/2019,PMI,MAD,FR,2776,09:45,11:15,7.96,,38.89,30.93,,7.96,,17.68,,9.71,29.17,,,,€
Basic,15/03/2019,25/03/2019,PMI,MAD,FR,2064,16:05,17:30,7.96,,38.89,30.93,,7.96,,17.68,,9.71,29.17,,,,€
Basic,15/03/2019,25/03/2019,PMI,MAD,FR,2062,21:15,22:40,7.96,,17.86,9.89,,7.96,,12.42,,4.46,13.40,,,,€
Basic,15/03/2019,25/03/2019,PMI,MAD,FR,2054,22:20,23:45,7.96,,10.50,2.54,,7.96,,10.58,,2.62,7.88,,,,€
Basic,15/03/2019,25/03/2019,PMI,SVQ,FR,5273,15:40,17:20,8.08,,36.27,28.19,,8.08,,17.15,,9.06,27.20,,,,€
