FareClass,ObservationDate,Departure_Date,ORG,Dst,Carrier,Flight_Code,Dep_time,Arr_time,Apt_Fees,Gov_Tax,Total_Price_Non_Res,Base_Fare_Non_Res,Base_Fare_Non_Res_Calc,Airport_Fees_Res,Gov_Tax_Res,Total_Price_Res,Base_Fare_Res,Base_Fare_Res_Calc,Discount_Value,Discount_Value_Calc,Security,Security Tax,Currency
Flexible, 06/01/2019, 15/01/2019, AGP, PMI, IB, 5908, 18:55, 20:20, 11.32, , 522.0, , , 11.32, , 141, , 130.5, 391.5, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, IBZ, IB, 5114, 07:00, 08:00, 19.24, , 61.0, 42.00, , 19.24, , 34, , 15.25, 45.75, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, IBZ, IB, 5114, 07:00, 08:00, 19.24, , 521.0, 502.00, , 19.24, , 149, , 130.25, 390.75, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, IBZ, IB, 5044, 12:45, 13:45, 19.24, , 83.0, 64.00, , 19.24, , 39, , 20.75, 62.25, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, IBZ, IB, 5044, 12:45, 13:45, 19.24, , 521.0, 502.00, , 19.24, , 149, , 130.25, 390.75, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, IBZ, IB, 5130, 17:00, 18:00, 19.24, , 65.0, 46.00, , 19.24, , 35, , 16.25, 48.75, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, IBZ, IB, 5130, 17:00, 18:00, 19.24, , 521.0, 502.00, , 19.24, , 149, , 130.25, 390.75, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, IBZ, IB, 5348, 20:15, 21:15, 19.24, , 61.0, 42.00, , 19.24, , 34, , 15.25, 45.75, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, IBZ, IB, 5348, 20:15, 21:15, 19.24, , 521.0, 502.00, , 19.24, , 149, , 130.25, 390.75, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, LPA, IB, 5036, 12:10, 14:30, 18.41, , 40.0, 21.50, , 18.41, , 28, , 10.0, 30.0, , 3.50, 0.61, €
Flexible, 06/01/2019, 15/01/2019, BCN, LPA, IB, 5036, 12:10, 14:30, 18.41, , 171.0, 152.50, , 18.41, , 61, , 42.75, 128.25, , 3.50, 0.61, €
Optimal, 06/01/2019, 15/01/2019, BCN, LPA, IB, 5912, 21:40, 23:59, 18.41, , 32.0, , , 18.41, , 26, , 8.0, 24.0, , 3.50, 0.61, €
Flexible, 06/01/2019, 15/01/2019, BCN, LPA, IB, 5912, 21:40, 23:59, 18.41, , 171.0, 14.00, , 18.41, , 61, , 42.75, 128.25, , 3.50, 0.61, €
Optimal, 06/01/2019, 15/01/2019, BCN, MAH, IB, 5138, 07:15, 08:10, 19.24, , 70.0, 51.00, , 19.24, , 36, , 17.5, 52.5, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, MAH, IB, 5138, 07:15, 08:10, 19.24, , 531.0, , , 19.24, , 151, , 132.75, 398.25, , 3.66, 0.64, €
Flexible, 06/01/2019, 15/01/2019, BCN, MAH, IB, 5160, 09:45, 10:40, 19.24, , 531.0, , , 19.24, , 151, , 132.75, 398.25, , 3.66, 0.64, €
Optimal, 06/01/2019, 15/01/2019, BCN, MAH, IB, 5142, 17:15, 18:10, 19.24, , 70.0, , , 19.24, , 36, , 17.5, 52.5, , 3.66, 0.64, €
