Date,WebSiteSource,OriginAirportCode,OriginAirportName,DestinationAirportCode,OriginAirportName,outbound_FlightCode,outbound_Carrier,outbound_DepartTime,outbound_ArrivalTime,outbound_FareAdultStandard,TotalFare,Currency,outbound_FareClass,TimeTaken,ThreadNo,outbound_TrueFareClass,IsOutboundFlightNumberMatch
07/01/2019,https://www.easyjet.com,AAR,,LGW,,8272,U2,14:20:00,15:15:00,276.29,276.29,EUR,,,,,
11/01/2019,https://www.easyjet.com,AAR,,LGW,,8272,U2,11:45:00,12:40:00,225.79,225.79,EUR,,,,,
18/01/2019,https://www.easyjet.com,AAR,,LGW,,8272,U2,11:45:00,12:40:00,165.19,165.19,EUR,,,,,
03/07/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,12:55:00,14:10:00,246.29,246.29,EUR,,,,,
04/05/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,19:55:00,21:10:00,160.44,160.44,EUR,,,,,
07/01/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,15:50:00,17:00:00,271.54,271.54,EUR,,,,,
11/01/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,15:50:00,17:00:00,221.04,221.04,EUR,,,,,
18/01/2019,https://www.easyjet.com,AAR,,TXL,,5678,U2,15:50:00,17:00:00,160.44,160.44,EUR,,,,,
05/01/2019,https://www.easyjet.com,ABZ,,GVA,,1490,U2,12:45:00,16:15:00,111.96,111.96,EUR,,,,,
03/02/2019,https://www.easyjet.com,ABZ,,LGW,,874,U2,20:30:00,22:10:00,37.22,37.22,EUR,,,,,
07/01/2019,https://www.easyjet.com,ABZ,,LGW,,872,U2,08:30:00,10:15:00,48.33,48.33,EUR,,,,,
11/01/2019,https://www.easyjet.com,ABZ,,LGW,,874,U2,20:30:00,22:10:00,41.26,41.26,EUR,,,,,
18/01/2019,https://www.easyjet.com,ABZ,,LGW,,874,U2,20:30:00,22:10:00,49.34,49.34,EUR,,,,,
03/02/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,21:05:00,22:25:00,31.16,31.16,EUR,,,,,
03/06/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:45:00,17:05:00,46.31,46.31,EUR,,,,,
03/07/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:45:00,17:05:00,39.24,39.24,EUR,,,,,
04/04/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:45:00,17:05:00,33.18,33.18,EUR,,,,,
05/03/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:35:00,17:00:00,31.16,31.16,EUR,,,,,
07/01/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:35:00,17:00:00,44.29,44.29,EUR,,,,,
11/01/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:35:00,17:00:00,44.29,44.29,EUR,,,,,
18/01/2019,https://www.easyjet.com,ABZ,,LTN,,148,U2,15:35:00,17:00:00,47.32,47.32,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,AMS,,7948,U2,12:00:00,17:25:00,296.9,296.9,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,AMS,,7948,U2,12:00:00,17:25:00,60.05,60.05,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,BFS,,6732,U2,20:10:00,00:30:00,201.45,201.45,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,BFS,,6732,U2,17:00:00,21:20:00,76.21,76.21,EUR,,,,,
04/05/2019,https://www.easyjet.com,ACE,,BRS,,6194,U2,11:10:00,15:00:00,51.97,51.97,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,BRS,,6194,U2,11:45:00,15:40:00,0.0,0.0,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,BRS,,6194,U2,12:15:00,16:10:00,108.53,108.53,EUR,,,,,
04/05/2019,https://www.easyjet.com,ACE,,BSL,,1250,U2,10:30:00,15:40:00,124.69,124.69,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,BSL,,1250,U2,17:25:00,22:35:00,413.05,413.05,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,CDG,,3862,U2,16:00:00,21:00:00,0.0,0.0,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,CDG,,3862,U2,17:30:00,22:30:00,151.46,151.46,EUR,,,,,
03/02/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,12:40:00,16:45:00,145.9,145.9,EUR,,,,,
03/06/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,11:10:00,15:10:00,192.36,192.36,EUR,,,,,
03/07/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,11:10:00,15:05:00,83.28,83.28,EUR,,,,,
04/04/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,11:10:00,15:05:00,60.05,60.05,EUR,,,,,
04/05/2019,https://www.easyjet.com,ACE,,LGW,,8684,U2,21:30:00,01:25:00,51.97,51.97,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,12:40:00,16:45:00,0.0,0.0,EUR,,,,,
05/01/2019,https://www.easyjet.com,ACE,,LGW,,8684,U2,19:40:00,23:45:00,0.0,0.0,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,12:40:00,16:45:00,44.9,44.9,EUR,,,,,
05/03/2019,https://www.easyjet.com,ACE,,LGW,,8684,U2,19:40:00,23:45:00,38.84,38.84,EUR,,,,,
07/01/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,12:40:00,16:45:00,0.0,0.0,EUR,,,,,
11/01/2019,https://www.easyjet.com,ACE,,LGW,,8682,U2,12:40:00,16:45:00,0.0,0.0,EUR,,,,,
